date	hits	geo	time	keyword	gprop	category
2019-02-03	58	US	today 12-m	amazon	web	0
2019-02-10	61	US	today 12-m	amazon	web	0
2019-02-17	61	US	today 12-m	amazon	web	0
2019-02-24	61	US	today 12-m	amazon	web	0
2019-03-03	62	US	today 12-m	amazon	web	0
2019-03-10	59	US	today 12-m	amazon	web	0
2019-03-17	59	US	today 12-m	amazon	web	0
2019-03-24	59	US	today 12-m	amazon	web	0
2019-03-31	59	US	today 12-m	amazon	web	0
2019-04-07	59	US	today 12-m	amazon	web	0
2019-04-14	60	US	today 12-m	amazon	web	0
2019-04-21	60	US	today 12-m	amazon	web	0
2019-04-28	61	US	today 12-m	amazon	web	0
2019-05-05	63	US	today 12-m	amazon	web	0
2019-05-12	63	US	today 12-m	amazon	web	0
2019-05-19	63	US	today 12-m	amazon	web	0
2019-05-26	64	US	today 12-m	amazon	web	0
2019-06-02	67	US	today 12-m	amazon	web	0
2019-06-09	67	US	today 12-m	amazon	web	0
2019-06-16	66	US	today 12-m	amazon	web	0
2019-06-23	66	US	today 12-m	amazon	web	0
2019-06-30	65	US	today 12-m	amazon	web	0
2019-07-07	67	US	today 12-m	amazon	web	0
2019-07-14	93	US	today 12-m	amazon	web	0
2019-07-21	67	US	today 12-m	amazon	web	0
2019-07-28	67	US	today 12-m	amazon	web	0
2019-08-04	68	US	today 12-m	amazon	web	0
2019-08-11	70	US	today 12-m	amazon	web	0
2019-08-18	80	US	today 12-m	amazon	web	0
2019-08-25	70	US	today 12-m	amazon	web	0
2019-09-01	63	US	today 12-m	amazon	web	0
2019-09-08	64	US	today 12-m	amazon	web	0
2019-09-15	65	US	today 12-m	amazon	web	0
2019-09-22	65	US	today 12-m	amazon	web	0
2019-09-29	66	US	today 12-m	amazon	web	0
2019-10-06	66	US	today 12-m	amazon	web	0
2019-10-13	66	US	today 12-m	amazon	web	0
2019-10-20	70	US	today 12-m	amazon	web	0
2019-10-27	70	US	today 12-m	amazon	web	0
2019-11-03	73	US	today 12-m	amazon	web	0
2019-11-10	76	US	today 12-m	amazon	web	0
2019-11-17	78	US	today 12-m	amazon	web	0
2019-11-24	93	US	today 12-m	amazon	web	0
2019-12-01	100	US	today 12-m	amazon	web	0
2019-12-08	94	US	today 12-m	amazon	web	0
2019-12-15	97	US	today 12-m	amazon	web	0
2019-12-22	84	US	today 12-m	amazon	web	0
2019-12-29	76	US	today 12-m	amazon	web	0
2020-01-05	70	US	today 12-m	amazon	web	0
2020-01-12	68	US	today 12-m	amazon	web	0
2020-01-19	69	US	today 12-m	amazon	web	0
2020-01-26	65	US	today 12-m	amazon	web	0
2019-02-03	32	US	today 12-m	apple	web	0
